PI_NAMEs,ORG_NAME,ORG_CITY,ORG_STATE,PROJECT_TITLE,PHR,NIH_SPENDING_CATS,FY,SUPPORT_YEAR,PROJECT_START,PROJECT_END,TOTAL_COST,ACTIVITY,APPLICATION_TYPE,FULL_PROJECT_NUM,Relevance,Reasoning
IAN LANZA; K Sreekumaran Nair,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Mayo Clinic Physical Activity Research Center: Metabolomics and Proteomics Analysis Site",,Metabolomics; Proteomics,2025,9,2016-12-08T00:00:00,2027-05-31T00:00:00,416600,U24,5,"5U24DK100469-09",High,"""Metabolomics and Proteomics Analysis"" is a core computational biology task. A U24 core facility is an excellent target."
Shigao Chen,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Renal Microvessel Imaging for Characterization of Chronic Kidney Disease",,Imaging; Kidney Diseases,2025,2,2023-02-16T00:00:00,2027-12-31T00:00:00,475882,R01,1,"1R01DK138817-02",High,"""Imaging for Characterization"" strongly implies a need for computational image analysis."
Andrea Cheville,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Project HoPe: Achieving Home Discharge for institutionally-bound Patients with PROMs, AI, and the EHR",,AI; EHR; Patient Reported Outcomes,2025,3,2022-08-03T00:00:00,2027-04-30T00:00:00,1082450,R01,5,"5R01AG072813-03",High,"Explicitly mentions ""AI"" and ""EHR"", a perfect fit for a clinical AI engineer."
Meng Yin,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Noninvasive assessment of portal hypertension and hepatic interstitial pressure with advanced magnetic resonance elastography",,Imaging; Liver Diseases; Magnetic Resonance Elastography,2025,2,2023-04-01T00:00:00,2027-01-31T00:00:00,310878,R01,1,"1R01DK141018-02",High,"Advanced MR elastography requires significant signal processing and computational modeling."
Juan Brito Campana; Rozalina McCoy,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Comparative Effectiveness and Safety of Osteoporosis Drug Therapies",,Aging; Biostatistics; Bone; Clinical Research; Clinical Trials; Comparative Effectiveness Research,2025,3,2022-09-15T00:00:00,2027-06-30T00:00:00,810627,R01,5,"5R01AR078923-03",Medium,"""Comparative Effectiveness"" research on drug therapies relies on large-scale statistical analysis of clinical data."
Ananth Madhuranthakam,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Next-Generation Whole-Body MRI for Detection and Assessment of Therapy Response in Bone Lesions",,Imaging; MRI; Cancer,2025,2,2023-07-01T00:00:00,2028-06-30T00:00:00,582617,R01,1,"1R01CA276413-02",High,"""Next-Generation... MRI for Detection and Assessment"" is a classic computational image analysis problem."
Hugo Botha,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Automated speech assessment for diagnosis of FTD spectrum disorders",,AI; Frontotemporal Dementia; Neurosciences,2025,1,2024-05-01T00:00:00,2029-01-31T00:00:00,723711,R01,1,"1R01DC020580-01",High,"""Automated speech assessment"" is a core AI/ML signal processing task."
Kirk Wangensteen,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Hereditary Genetics of Hepatocellular Carcinoma",,Cancer; Genetics; Liver Cancer,2025,4,2022-02-01T00:00:00,2027-06-30T00:00:00,620136,R37,5,"5R37CA262529-04",High,"""Hereditary Genetics"" is a foundational bioinformatics discipline."
Benjamin Elder; Lichun Lu,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Metastatic Spine Tumors: Minimally Invasive Fracture Risk Analysis and Treatment - Master",,Biomechanical Engineering; Cancer; Imaging; Modeling,2025,18,2008-04-01T00:00:00,2028-01-31T00:00:00,475317,R01,5,"5R01AR055575-18",High,"""Risk Analysis"" suggests a need for predictive modeling, likely based on imaging data."
ANDREW RULE,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Automated detection of microstructural features that have unique protein markers and are prognostic for chronic kidney disease",,AI; Kidney Diseases; Pathology,2025,15,2011-02-10T00:00:00,2027-01-31T00:00:00,687548,R01,5,"5R01DK090358-15",High,"""Automated detection"" and ""prognostic"" are explicit computational keywords."
Nikki Stricker,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Validation of the Mayo Test Drive Screening Battery Composite and Stricker Learning Span for Early Detection and Monitoring of Cognitive Decline in Preclinical and Prodromal Alzheimer’s Disease",,Alzheimer's Disease; Cognitive Science; Neurosciences,2025,2,2023-12-01T00:00:00,2028-11-30T00:00:00,1347320,R01,1,"1R01AG081223-02",High,"""Screening Battery Composite"" and ""Early Detection"" from cognitive data implies significant computational/statistical work."
Arvin Forghanian-Arani,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Evaluating the natural evolution of myocardial stiffness in aging, sex differences, and through menopause transition in women, using a free-breathing magnetic resonance elastography approach",,Aging; Imaging; Magnetic Resonance Elastography,2025,3,2023-01-01T00:00:00,2027-12-31T00:00:00,525686,R01,1,"1R01AG076535-03",High,"""Evaluating... using a... magnetic resonance elastography approach"" requires computational modeling of imaging data."
Peter Harris,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"ADPKD: Disease Spectrum & Genotype-Phenotype Correlations",,Genetics; Kidney Diseases; Polycystic Kidney Disease, Autosomal Dominant,2025,25,2001-08-01T00:00:00,2028-05-31T00:00:00,703554,R01,5,"5R01DK058816-25",High,"""Genotype-Phenotype Correlations"" is a classic, computationally-intensive task."
Yuguang Liu,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Deciphering microbial-immune cell interaction using single cell approaches",,Immunology; Microbiome; Single Cell Analysis,2025,4,2022-08-01T00:00:00,2027-05-31T00:00:00,397500,R35,5,"5R35GM146977-04",High,"""Single cell approaches"" is a major field in computational biology that generates massive datasets."
John Kisiel; Niloy Samadder,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Multi-cancer Early Detection",,Biomarkers; Cancer; Early Detection,2025,8,2018-04-08T00:00:00,2030-03-31T00:00:00,445446,R01,5,"5R01CA227232-08",High,"""Multi-cancer Early Detection"" is a hot field in AI/ML, relying on genomics and machine learning models."
Jennifer Whitwell,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Longitudinal multi-modality imaging in non-fluent/agrammatic primary progressive aphasia",,Imaging; Neurodegenerative; Neurosciences,2025,13,2013-07-01T00:00:00,2028-06-30T00:00:00,684052,R01,5,"5R01DC012519-13",High,"""Longitudinal multi-modality imaging"" is a perfect keyword phrase indicating complex image analysis over time."
Peter Brunner; Kai Miller; Gregory Worrell,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"An Ecosystem of Technology and Protocols for Adaptive Neuromodulation Research in Humans",,Brain Computer Interfaces; Neuromodulation; Neurosciences,2025,4,2022-09-21T00:00:00,2027-05-31T00:00:00,1072354,U01,5,"5U01NS123126-04",High,"""Ecosystem of Technology"" and ""Adaptive Neuromodulation"" strongly suggest software engineering, signal processing, and real-time control systems."
Matthew Urban,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Measuring arterial material properties using wave-based approaches with ultrasound and computational models",,Biomechanical Engineering; Imaging; Modeling,2025,7,2019-01-17T00:00:00,2027-02-28T00:00:00,616578,R01,5,"5R01HL144493-07",High,"Explicitly mentions ""computational models""."
Francis Baffour; Hao Gong,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"AI-assisted quantitative photon-counting-detector CT imaging for cytogenetic risk prediction and treatment response in multiple myeloma",,AI; Cancer; CT; Imaging,2025,1,2025-04-01T00:00:00,2029-01-31T00:00:00,546874,R01,1,"1R01CA295054-01A1",High,"Bullseye. ""AI-assisted"", ""quantitative... CT imaging"", ""risk prediction""."
KEJAL KANTARCI; WALTER ROCCA,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Premenopausal bilateral oophorectomy and biomarkers of Alzheimer’s and cerebrovascular diseases",,Aging; Alzheimer's Disease; Biomarkers; Cerebrovascular,2025,1,2025-05-15T00:00:00,2030-04-30T00:00:00,1979481,R01,1,"1R01AG034676-15",High,"""Biomarkers"" implies analysis of large datasets (imaging, genetics, etc.)."
KARLA KERLIKOWSKE; Despina Kontos; CELINE VACHON,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Evaluation of novel tomosynthesis density measures in breast cancer risk prediction",,Breast Cancer; Imaging; Risk Assessment,2025,3,2023-03-01T00:00:00,2028-02-28T00:00:00,671511,R01,5,"5R01CA266432-03",High,"""density measures"" from imaging and ""risk prediction"" are computational tasks."
Matthew Murphy,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Biophysically inspired mechanical biomarkers of normal pressure hydrocephalus",,Biomechanical Engineering; Imaging; Magnetic Resonance Elastography,2025,2,2024-05-15T00:00:00,2029-02-28T00:00:00,395430,R01,1,"1R01NS133464-01A1",High,"""mechanical biomarkers"" derived from imaging requires computational modeling."
Gregory Worrell,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Reliable Seizure Prediction Using Physiological Signals and Machine Learning",,Epilepsy; Machine Learning; Neurosciences,2025,4,2022-06-01T00:00:00,2027-05-31T00:00:00,538326,R01,5,"5R01NS127572-04",High,"Bullseye. ""Seizure Prediction"", ""Physiological Signals"", and ""Machine Learning"" are explicit keywords."
Andres Acosta,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Phenotype-Tailored Lifestyle intervention for Obesity: A Randomized Trial",,Clinical Trials; Obesity; Phenotype,2025,2,2024-07-15T00:00:00,2029-04-30T00:00:00,668784,R01,1,"1R01DK139028-02",High,"""Phenotype-Tailored"" implies a data-driven, computational approach to stratify patients."
Chengwu Huang,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Characterization of microvasculature in kidney transplant by super-resolution ultrasound imaging",,Imaging; Kidney; Ultrasound,2025,2,2024-05-09T00:00:00,2029-03-31T00:00:00,538923,R01,1,"1R01DK136979-01A1",High,"""Characterization by super-resolution... imaging"" is a computational image analysis task."
Patricio Escalante; Kelly Pennington; Elsje Pienaar,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Systems biology to predict progression and treatment response in M avium complex pulmonary disease",,Modeling; Prediction; Systems Biology,2025,2,2024-07-11T00:00:00,2029-06-30T00:00:00,727858,R01,1,"1R01AI177579-01A1",High,"""Systems biology to predict"" is an explicit computational keyword phrase."
Matthew Murphy,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Advancing MR elastography to map mechanical signatures of key AD/ADRD processes",,Alzheimer's Disease; Imaging; Magnetic Resonance Elastography,2025,4,2022-12-01T00:00:00,2027-11-30T00:00:00,397775,R01,5,"5R01AG077755-04",High,"""map mechanical signatures"" is a computational task based on imaging data."
ALEXEJ ABYZOV,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Uncovering the origin of hypermutability in adult brains",,Brain; Cancer; Computational Biology; Genomics,2025,3,2023-11-15T00:00:00,2028-10-31T00:00:00,721292,R01,1,"1R01MH131623-03",High,"Core computational genomics project from a known computational PI."
CLIFFORD JACK,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Disease pathways in the population determined by amyloid, tau, and neurodegeneration imaging biomarkers",,Aging; Alzheimer's Disease; Biomarkers; Imaging,2025,33,1993-06-01T00:00:00,2028-05-31T00:00:00,770061,R37,5,"5R37AG011378-33",High,"""imaging biomarkers"" in a population cohort requires large-scale computational analysis."
Terry Burns,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Glioma intelligence from behind enemy lines",,Brain Cancer; Cancer,2025,3,2023-03-01T00:00:00,2028-02-29T00:00:00,525455,R37,5,"5R37CA273111-03",Medium,"Creative title. ""Intelligence"" implies data analysis, but it's not explicit. Worth a look at the abstract."
Ming-Fen Ho,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Single cell multi-omics of iPSC-derived brain organoids from patients with opioid use disorder: synthetic opioids as molecular probes",,Brain; Multi-Omics; Opioid; Single Cell Analysis,2025,3,2023-07-15T00:00:00,2028-05-31T00:00:00,417613,R01,1,"1R01DA057317-03",High,"""Single cell multi-omics"" is a perfect keyword for a computational biologist."
Purna Kashyap,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Mechanisms of alteration of gastrointestinal physiology by gut microbes",,Gastrointestinal; Microbiome,2025,9,2017-09-01T00:00:00,2027-06-30T00:00:00,584007,R01,5,"5R01DK114007-09",High,"Microbiome research from a leading PI in the field is guaranteed to be computationally intensive."
Aleksandar Denic; Timothy Kline,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Artificial Intelligence-Based Methods to Characterize Kidney Macrostructure from Pre- and Post-Nephrectomy Computed Tomography Images",,AI; CT; Imaging; Kidney,2025,2,2024-08-21T00:00:00,2028-06-30T00:00:00,351377,R01,1,"1R01DK138072-01A1",High,"Bullseye. ""Artificial Intelligence-Based Methods"" is the most explicit keyword possible."
PRASHANTHI VEMURI,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Investigating Resistance and Resilience Mechanisms in Alzheimer’s Disease",,Alzheimer's Disease; Neurosciences,2025,9,2017-09-15T00:00:00,2028-02-29T00:00:00,764047,R01,5,"5R01AG056366-09",Medium,"""Mechanisms"" is vague; requires looking at the PI's work, but often involves computational approaches like network biology."
Scott Hsieh,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Improving the dose efficiency of photon counting CT",,CT; Imaging,2025,2,2024-06-01T00:00:00,2028-03-31T00:00:00,362179,R01,1,"1R01EB033501-01A1",High,"This is a medical physics / engineering problem that is heavily computational (image reconstruction algorithms, etc.)."
Keith Josephs; Jennifer Whitwell,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Neuroinflammation, white matter integrity, AD biomarkers and pathology in corticobasal syndrome",,Alzheimer's Disease; Biomarkers; Imaging,2025,1,2025-04-01T00:00:00,2030-01-31T00:00:00,798032,R01,1,"1R01NS138855-01",Medium,"Likely involves imaging analysis (""white matter integrity""), but ""pathology"" could also mean wet lab work."
Meng Yin,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Quantitative characterization of the liver-pancreas axis in diabetes via multiparametric magnetic resonance elastography",,Diabetes; Imaging; Liver; Pancreas,2025,3,2023-08-09T00:00:00,2028-04-30T00:00:00,399749,R01,1,"1R01DK135111-03",High,"""Quantitative characterization via... elastography"" is a computational task."
ADIL BHARUCHA; Rodolfo Savica,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Mayo Clinic Consortium for Gut Brain Communication in Parkinson's Disease",,Gastrointestinal; Neurosciences; Parkinson's Disease,2025,2,2024-09-01T00:00:00,2029-06-30T00:00:00,726298,U01,1,"1U01NS133980-01A1",Medium,"A ""Consortium"" (`U01`) grant will have a significant data component, but the title isn't specific about the methods."
Andrew McKeon,MAYO CLINIC ROCHESTER,ROCHESTER,MN,"Seronegative Autoimmune Encephalopathies: Biomarker Discovery, Validation & Deep Phenotyping",,Autoimmunity; Biomarkers; Neurosciences,2025,4,2022-02-01T00:00:00,2027-01-31T00:00:00,357750,R01,5,"5R01NS124898-04",High,"""Biomarker Discovery"" and ""Deep Phenotyping"" are strong computational keywords."
