PI_NAMEs,PROJECT_TITLE,FISCAL_YEAR,ACTIVITY,TOTAL_COST,PROJECT_START,PROJECT_END,FULL_PROJECT_NUM,ORG_NAME,RELEVANCE,REASONING,ABSTRACT,FETCH_STATUS
IAN LANZA; K Sreekumaran Nair,Mayo Clinic Physical Activity Research Center: Metabolomics and Proteomics Analysis Site,2025,U24,416600,2016-12-08T00:00:00,2027-05-31T00:00:00,,,High,"""Metabolomics and Proteomics Analysis"" is a core computational biology task. A U24 core facility is an excellent target.","PROJECT SUMMARY
Mayo Clinic Chemical Center (MCC) is funded to perform targeted metabolites and exosome cargo
measurements in samples collected in the Clinical Centers of MoTrPAC.
As advised by the steering committee, we have expended a substantial amount of time developing an innovative
methodology to isolate plasma exosomes and demonstrated reproducibility in multiple experiments, at different
time points and by different laboratories. We propose exosome-based proteome and miRNA analysis in a limited
number of samples. Based on power calculations, we estimated that the proposed number of samples will detect
significant changes in exosome proteome and miRNA responses to aerobic and resistance exercise training. We
will also test a hypothesis that proteome and miRNA release after acute exercise will be different in people who
are highly active in comparison with sedentary people, because the prior exercise training accretes specific
exercise-induced proteins in tissues that will be released during and immediately after both modes of exercise.
These measurements will be done in 140 sedentary people and 110 highly active people and will likely offer
unique new information. In addition, 55 sedentary people will be evaluated at baseline and following 3 months
each of aerobic and resistance training with 30 sedentary controls studied after a 3-month control period.
Secondly, in alignment with metabolomic measurements done at other centers, we will perform measurement of
two quantitative targeted metabolites-amino metabolites and organic acids in plasma and skeletal muscle. These
targeted metabolites are chosen based on their biological relevance to exercise training, and the quantitative
and reproducible data anticipated from our assays would complement large scale metabolites measured in other
Chemical Centers. The targeted metabolome measurement will also offer an opportunity to potentially
understand the biochemical pathways involved in exercise benefits. We chose muscle and plasma
measurements of organic acids representing the substrates of the citric acid flux pathway and amino metabolites
which, based on many preliminary studies, are shown to sensitively respond to exercise with distinct responses
to aerobic and resistance exercise.
Both targeted metabolites in muscle and plasma as well as exosome-based measurements of proteome and
miRNA are anticipated to reveal novel information on how specific exercise programs may benefit physiological
functions. We anticipate that the results from our study in combination with the ongoing multiple omic
measurements in all chemical centers will likely unravel deeper insights on how exercise benefits multiple
organs. Our objective is to advance the translational potential of exosome cargo by administering biological
molecules offering exercise benefits via small vesicles like exosomes to multiple organs in the body. The
metabolites, especially targeted metabolites, are likely biomarkers to monitor responses to the administered
vesicles carrying potentially beneficial molecules.",SUCCESS
Shigao Chen,Renal Microvessel Imaging for Characterization of Chronic Kidney Disease,2025,R01,475882,2023-02-16T00:00:00,2027-12-31T00:00:00,,,High,"""Imaging for Characterization"" strongly implies a need for computational image analysis.","PROJECT SUMMARY
Chronic kidney disease (CKD) is estimated to affect 30 million Americans and incur healthcare cost of $30.9
billion every year. There is an urgent need of a safe and noninvasive clinical tool for accurate staging of CKD,
which is essential for its management. The importance of renal parenchyma perfusion and vasculature
morphology for CKD characterization has been documented by many studies, but is not used clinically due to
lack of translatable imaging solutions. In this project, we will use a novel super-resolution ultrasound imaging
(SRUI) technology, which can resolve 50-micron renal cortex microvessels and measure their blood flow speed
in human, to quantify cortex microvessel morphology and perfusion for accurate CKD characterization.
Aim 1: Technical development. New acquisition and processing methods will be developed to enhance
performance of SRUI through phantom and patient experiments. Novel quantitative parameters of SRUI for
renal cortex will be developed, which includes vessel density, diameter, and tortuosity, as well as mean blood
flow velocity, micro- Resistive Index of arterioles and venules, and perfusion index.
Aim 2: Animal validations. We will study 7 normal pigs and 14 CKD pigs with renal artery stenosis (RAS) to
validate SRUI measurements using independent measurements obtained through contrast enhanced CT,
micro-CT, and histology.
Aim 3: Clinical study. We will study 50 healthy volunteers to establish the normal range of SRUI parameters
and study 116 CKD patients with clinically indicated renal biopsy to investigate the efficacy of SRUI for CKD
staging, using biopsy histology as the reference standard. Statistical difference between CKD patients and
healthy controls and differences across CKD stages defined by histology will be evaluated. The association of
each ultrasound parameter with histology CKD score will be assessed. Univariate and multivariate logistic
regression and ROC analyses (receiver operating characteristic) analyses will be performed to assess the
performance of SRUI, conventional ultrasound (renal length, cortex thickness, Doppler renal resistive index,
and shear wave elastography), and clinical parameters (eGFR and proteinuria) for distinguishing histology
CKD stages. A subset (N=45) of patients will be scanned by two sonographers randomly selected from a pool
of five sonographers. Intraclass correlation coefficients will be used to evaluate the inter-sonographer
agreement. The inter-sonographer variance will be calculated to estimate the minimum detectable difference
for longitudinal follow-ups.
Successful completion of this project will result in a safe, noninvasive, cost-effective, and accessible ultrasound
technology for accurate characterization of chronic kidney disease to guide treatment decision making.",SUCCESS
Andrea Cheville,"Project HoPe: Achieving Home Discharge for institutionally-bound Patients with PROMs, AI, and the EHR",2025,R01,1082450,2022-08-03T00:00:00,2027-04-30T00:00:00,,,High,"Explicitly mentions ""AI"" and ""EHR"", a perfect fit for a clinical AI engineer.","Unnecessary discharges from a hospital to a skilled nursing facility (SNF) are costly and may accelerate
patients’ functional losses and requirement for long-term institutionalization. Patients with Alzheimer's Disease
and Alzheimer's Disease Related Dementias (AD/ADRD) and other types of cognitive impairment are uniquely
disadvantaged by this status quo in that they are twice as likely to be hospitalized, four times more likely to be
discharged to SNFs with less than 50% returning to their homes. This situation can be addressed as it is the
product of a typically rushed discharge planning process with inadequate time to discover, much less address,
a patient’s barriers to home discharge. Recent reports suggest that as many as a third of patients dismissed to
SNFs, including those with AD/ADRD, could return directly home if their post-acute care (PAC) needs and
barriers were anticipated and addressed. Several key deficits prevent broad realization of a patients’ potential to
discharge directly home, or their Home PAC Potential (HoPe). These include a limited ability to: 1) quantify
factors that determine PAC needs, 2) identify and address remediable barriers to home discharge, and 3)
mobilize stakeholders for advancement of individualized discharge plans. Collectively, these deficits prevent
the timely initiation of acute care services that can realize a patient’s potential for home discharge, with PAC as
necessary. Rehabilitation-focused, hospital-Home Healthcare Agency (HHA) partnerships have established that
interdisciplinary care plans enacted early in a hospital stay with patient and caregiver involvement increase the
likelihood of a patient’s return home. Our team developed an Epic electronic health record (EHR)-based
discharge planning system that triangulates EHR, patient reported outcomes (PROs), and social determinants
of health data to identify HoPe barriers and direct needs-matched rehabilitation service delivery. A pilot of the
system among 358 patients increased the home discharge rate by over 25% and revealed high user
acceptability. However, the pilot also identified the need to improve addressing of cognitive impairments,
targeting of high-yield HoPe barriers, and engagement of non-clinical stakeholders. We propose to address
these limitations by pursuing three Specific Aims: 1) Develop a low-burden computerized adaptive test PRO to
assess the domains of functional cognition relevant to a safe home discharge; 2) Develop a machine learning
algorithm to prioritize actionable HoPe barriers and estimate the degree of change needed for home discharge;
and 3) Apply user-centered design principles to refine the EHR discharge planning system for optimal usability
and enhanced EHR portal patient, caregiver, and HHA staff access. Our goal is to both integrate and pilot
these deliverables in a mature and optimally usable EHR discharge planning system, and to evaluate the
feasibility and acceptability of its implementation. We anticipate that the system will be scalable, and amenable
to inter-institution transfer for testing in a multi-site pragmatic trial.",SUCCESS
Meng Yin,Noninvasive assessment of portal hypertension and hepatic interstitial pressure with advanced magnetic resonance elastography,2025,R01,310878,2023-04-01T00:00:00,2027-01-31T00:00:00,,,High,Advanced MR elastography requires significant signal processing and computational modeling.,"Chronic liver disease (CLD) is a highly common cause of death due to the development of cirrhosis and consequential life-threatening portal hypertension (PHTN). Hepatic venous pressure gradient (HVPG) measurement is the gold standard to evaluate PHTN but not readily available in routine clinical settings due to its invasiveness and requirement of adequate operator skill and experience. Thus, an urgent need for a safe, reliable, operator-independent noninvasive method exists for diagnosing and monitoring PHTN to allow early targeted interventions. Biological soft tissues usually have a biphasic architecture, including a solid matrix (cells, extracellular matrix) saturated with fluid (interstitial fluid and blood). MR elastography (MRE) can quantitatively assess multiple tissue mechanical properties. Within them, liver stiffness, which comprises solid stress and fluid pressure, is widely used clinically to assess hepatic fibrosis as a liver biopsy alternative. 
Our prior studies show that MRE-assessed viscoelasticity can distinguish solid-related fibrosis and fluid-related inflammation in early-stage CLD. Other hepatosplenic MRE parameters (compressibility and nonlinearity) are promising biomarkers for hemodynamics-associated fluid pressure but require systematic evaluation. 
The overall goal of this work is to develop an advanced multiparametric 3D vector MRE (3DV MRE) technique of the liver and spleen for fully characterizing PHTN in advanced CLD. 
• In Aim 1, a dual-frequency, self-navigating, and hybrid radial-Cartesian 3DV MRE method will be developed for characterizing multiple mechanical properties in both small animals and human subjects. We will develop a model-based iterative reconstruction and a 3D neural network inversion to calculate viscoelasticity, compressibility, and nonlinearity in the liver and spleen from the hybrid 3DV MRE data. 
• In Aim 2, we will use 3DV MRE imaging on three PHTN rat models (diet-induced nonalcoholic steatohepatitis (N=22), cirrhosis-induced PHTN after bile duct ligation surgery (N=22), and congestion-induced PHTN after partial inferior vena cava ligation surgery (N=22)). Technical integrity, scientific rigor, and diagnostic accuracy will be assessed by comparing multiple imaging biomarkers with in vivo interstitial fluid and portal pressure measurements, ex vivo dynamic mechanical analysis testing results, and histologic features. 
• Before the clinical translation, we will evaluate the repeatability of MRE biomarkers in 5 controls and 5 clinical patients using a test-retest strategy. Finally, a pilot clinical study in 10 controls and 50 clinical patients with endoscopy or HVPG will rigorously cross-validate the diagnostic accuracy of the PHTN predictors. 
Advanced 3DV MRE development enables other investigators and us to explore this promising technology for many other etiologies related to fluid pressure. This project’s success will also provide a valuable noninvasive assessment tool for emerging therapeutic interventions.",SUCCESS
Juan Brito Campana; Rozalina McCoy,Comparative Effectiveness and Safety of Osteoporosis Drug Therapies,2025,R01,810627,2022-09-15T00:00:00,2027-06-30T00:00:00,,,Medium,"""Comparative Effectiveness"" research on drug therapies relies on large-scale statistical analysis of clinical data.","PROJECT SUMMARY
Osteoporotic fractures threaten the health, independence, and survival of millions of people nationwide. An
estimated 40% of women and 30% of men will suffer a hip, spine, or wrist fracture in their lifetime. Two million
Americans experience a fracture annually, resulting in more than 430,000 hospital admissions, 2.5 million
medical office visits, and 180,000 nursing home admissions. Due in part to an aging population, the cost of
osteoporotic fracture-related care will exceed $25 billion by 2025. This suffering and cost is preventable. Large
randomized controlled trials (RCT) have demonstrated the substantial benefit of osteoporosis drug therapies
(ODT) in reducing the risk of osteoporotic fractures. Yet, fewer than 50-80% of patients at risk of fracture will
receive ODT and half will discontinue them prematurely. Underuse of, and poor adherence to, ODTs stems in
part from the lack of evidence about the effectiveness and safety long-term use of anti-resorptive ODT (i.e.,
bisphosphonates and denosumab), particularly with respect to rare side effects such as atypical femur fracture
(AFF) and osteonecrosis of the jaw (ONJ). While interruption of long-term ODT (‘drug holiday’) and use of
sequential therapies (i.e., anabolic ODT followed by anti-resorptive ODT) have been proposed as ways to limit
risks of AFF and ONJ, it remains unknown whether these strategies actually reduce risk of harm without
compromising ODT effectiveness with respect to fracture prevention. We will address these knowledge gaps by
emulating a series of target RCTs examining the comparative effectiveness and safety of ODT regimens with
respect to fragility fractures (primary outcome), AFF, ONJ, and other safety endpoints. We will use claims and
electronic health record data from OptumLabs Data Warehouse, a dataset of privately-insured and Medicare
Advantage beneficiaries, linked to a 100% sample of Medicare fee-for-service claims, to allow for an
unprecedented evaluation of ODT over time and across populations, geographies, health systems, and health
plans. We will emulate the following target RCTs (eRCTs): Aim 1) eRCT 1 comparing ≤3 years vs. >3 years non-
interrupted anti-resorptive therapy. Aim 2) eRCT 2 comparing non-interrupted long-term biphosphonate ODT
(>3 years) vs. short-term (≤3 years) ODT followed by either brief (≤3 years) or prolonged (>3 years) drug holiday.
Aim 3) eRCT 3 comparing sequential therapy with anabolic ODT followed by >3 years bisphosphonate vs.
denosumab treatment. Within each eRCT, we will assess for heterogeneity of treatment effects as a function of
gender and risk profile (e.g. steroid use, etc). Finally, to address the gaps in translation of evidence to patient
care decisions, Aim 4 will update and field test an effective but outdated shared decision-making tool
(Osteoporosis Choice) with data produced by Aims 1-3. At the conclusion of this work, we will generate both the
evidence to inform high quality osteoporosis care and a ready-to-use shared decision-making tool to support the
implementation of this evidence into practice to improve the health of patients with osteoporosis.",SUCCESS
Ananth Madhuranthakam,Next-Generation Whole-Body MRI for Detection and Assessment of Therapy Response in Bone Lesions,2025,R01,582617,2023-07-01T00:00:00,2028-06-30T00:00:00,,,High,"""Next-Generation... MRI for Detection and Assessment"" is a classic computational image analysis problem.","Project Summary
 Bone lesions from solid tumors such as breast, prostate, or kidney cancers, tumors originating in the bone
marrow such as multiple myeloma (MM), or other non-malignant musculoskeletal pathologies can occur
anywhere in the skeleton. These bone lesions cause pain and spinal cord compressions, leading to pathologic
fractures and paralysis, thereby diminishing the patient's quality of life. Current therapies rely on diagnosing
these bone lesions by whole-body X-ray or bone scans, which only identify them at advanced stages. While
whole-body magnetic resonance imaging (WBMRI) is recommended for pretreatment assessment (e.g., in
MM), MRI is often limited to spine and pelvic regions in practice to minimize patient discomfort, compromised
image quality from geometric distortion, and high costs due to prolonged acquisition times. To address this
unmet clinical need, we developed a novel WBMRI technique: `Dual-Echo T2-weighted acquisition for
Enhanced Conspicuity of Tumors' (DETECT), for improved lesion visualization by simultaneously separating
the confounding signals of fat and fluid. Compared to WBMRI with diffusion-weighted imaging (DWI), single-
shot DETECT increased lesion detection (>40%) in considerably shorter scan times (<10 min) and without
image distortions. This method also improved robustness to motion in the thoracic and abdomen regions,
however, it suffers from image blurring due to T2-decay particularly in spine and extremities, limiting the
diagnostic performance. In the current proposal, we will address these limitations by developing the next-
generation WBMRI-DETECT using an efficient combination of single-shot and multi-shot acquisitions. DETECT
also generates fat signal for quantitative fat fraction (FF) maps that can be used as a prognostic biomarker in
MM, since tumor cells replace fat, a major constituent of bone marrow. This method also led us to develop a
DETECT-based DWI technique for accurate measurement of apparent diffusion coefficient (ADC). The specific
aims are: 1) To develop an integrated WBMRI using single-shot and multi-shot DETECT, along with
quantitative FF maps; 2) To develop a DETECT-based DWI with accurate ADC measurements; and 3) To
evaluate the integrated WBMRI, including DETECT-DWI and contrast-enhanced perfusion, for efficient bone
lesion detection and therapy response assessment. We will use bone lesions in MM as the proof-of-concept
disease to achieve these project goals. The successful outcome of this project will be an efficient WBMRI
protocol with accurate FF and ADC measures as imaging biomarkers, validated in detection and measuring
therapy response in MM patients. This WBMRI in combination with contrast-enhanced MRI including perfusion,
will be an excellent cost-effective and practical approach (<45 minutes of table time) for widespread use in
clinical practices across the world. This will benefit MM patients and patients suffering from other bone lesions,
including pediatric patients during long follow-ups, without the drawbacks of PET/CT. This will provide relevant
clinical information for treatment decisions to positively impact patients' quality of life and overall survival.",SUCCESS
Hugo Botha,Automated speech assessment for diagnosis of FTD spectrum disorders,2025,R01,723711,2024-05-01T00:00:00,2029-01-31T00:00:00,,,High,"""Automated speech assessment"" is a core AI/ML signal processing task.","PROJECT SUMMARY/ABSTRACT
Alzheimer’s Disease and Related Dementias (ADRDs) are major causes of death and disability in the United
States, with the number of adults with ADRDs projected to reach 13 million by 2050. Among these, the
frontotemporal degeneration (FTD) spectrum disorders are among the most common causes of dementia in
younger individuals (<60y), resulting in high social and economic burden. Diagnosis of FTD is challenging,
typically requiring subspeciality expertise that is not widely available in a timely manner. Many FTD spectrum
disorders manifest in speech, and speech changes can help differentiate FTD subtypes. Prior research
supports the clinical utility of speech-based prediction of FTD presence and subtype. Unfortunately, rigor of
these prior studies is limited for several reasons, including small sample sizes, failure to follow predictive
modeling best practices, use of research grade speech recordings, and lack of prospective validation. We
propose a highly innovative approach to speech-based prediction of FTD that avoids the weaknesses of prior
work. Central to our approach is the insight that FTD may be too rare to use powerful deep learning models,
but the abnormal speech characteristics seen in FTD are also seen in other disorders. Training a model to
recognize these characteristics in FTD does not require limiting the dataset to FTD patients. We plan use this
to our advantage. In Aim 1 we will use a self-administered, web-based speech exam to create a large dataset
of all disorders seen in our speech clinic. Recordings will be made in a standard exam room using mobile
phones or tablets. Our expert speech and language pathologist will annotate the recordings with perceptual
speech characteristics, such as abnormal rate or vocal strain. The large sample size will enable us to use deep
learning for what it excels at – trainable feature extraction optimized for the task at hand. We will follow
predictive modeling best practices, including use of a validation set. In Aim 2 we will apply these trained
models in a large cohort spanning the FTD spectrum and extract the data from the last layer in the network,
just before it makes its prediction. This is a low dimensional representation of the speech signal, but which
contains the information necessary for predicting perceptual characteristics. We will use these representations
to develop a nearest neighbor classifier for FTD. Essentially, the model matches a new case to similar ones in
a labeled set based on the low-dimensional representation and uses the neighborhood to assign a label for the
new case. Finally, in Aim 3 we will combine our self-administered speech exam and the models from Aims 1
and 2 into a single tool and perform a prospective validation study to test performance in a clinical setting. The
predicted increase in ADRDs and lack of access to specialists will necessitate a shift in clinical practice from a
few expert centers to a distributed system of non-expert providers. The digital tool we propose meets this
challenge head on through scalable and easy to use automated speech analysis and prediction of FTD.",SUCCESS
Kirk Wangensteen,Hereditary Genetics of Hepatocellular Carcinoma,2025,R37,620136,2022-02-01T00:00:00,2027-06-30T00:00:00,,,High,"""Hereditary Genetics"" is a foundational bioinformatics discipline.","Project Summary
Hepatocellular Carcinoma (HCC) is a devastating and prevalent cancer of the liver with high rates of mortality.
Major risk factors include chronic viral infection (hepatitis B or C), fatty liver disease, alcohol use, and exposure
to environmental toxins. An independent risk factor is a family history of HCC, which raises the risk by more than
2.5-fold. However, despite evidence of familial risk, the inherited component remains unknown. It also remains
unexplored whether inherited gene variants play a pathogenic role in HCC development, or whether they could
be used to guide treatment with targeted therapies. We have pioneered an investigation into inherited (i.e.
germline) genetic factors associated with HCC. We have completed a pilot analysis of 217 patients with HCC
prospectively enrolled from our medical center for clinical-grade multigene panel genetic testing. We have
captured details about their personal and family cancer history, risk factors, and outcomes. In our pilot analysis,
we found a surprisingly high rate of pathogenic germline variants in cancer-associated genes in patients with
HCC, including numerous pathogenic and likely pathogenic variants in genes required for homologous repair,
DNA damage response (HR-DDR). We hypothesize that inherited loss-of-function variants in specific genes are
enriched in HCC, and that carriers can be treated with targeted therapies. In Aim 1, we will conduct genetic
association studies that are powered to detect clinically meaningful germline variants linked to HCC, and we will
examine predictors of hereditary cancer syndromes in HCC including age of onset and family history of cancer.
In Aim 2, we will explore the mechanism of HCC arising from defects in HR-DDR genes, and determine the
implications for targeted therapies. These innovative studies of the hereditary genetics of HCC have the potential
to personalize therapies for the subset of patients with hereditary cancer syndromes. We have assembled a
team of experts in HCC, hereditary genetics, and animal models to complete this investigation. This study has
the potential to impact on the care of patients with HCC in the US and worldwide.",SUCCESS
Benjamin Elder; Lichun Lu,Metastatic Spine Tumors: Minimally Invasive Fracture Risk Analysis and Treatment - Master,2025,R01,475317,2008-04-01T00:00:00,2028-01-31T00:00:00,,,High,"""Risk Analysis"" suggests a need for predictive modeling, likely based on imaging data.","Project Summary/Abstract
The identification of cancer metastases to the bony vertebral column obligates the treating clinician to make a
surgical decision. Current spinal stability decision-making is empirical, qualitative, and can be inaccurate. The
consequences of that decision for the patient, however, are significant. If the spine is deemed at risk for
fracture, then the patient will undergo a major spinal operation. Conversely, the patient whose spine is deemed
stable risks fracture and possible paralysis if the analysis was incorrect. This research program addresses both
the stability decision and the nature of the treatment. In this renewal application, we will continue our efforts to
develop non-invasive, quantitative, and reliable methods to predict the fracture risk of vertebrae with metastatic
cancer under physiologically relevant loading conditions, and to optimize minimally invasive techniques using
novel biomaterials to reconstitute the load bearing capacity of an affected vertebra. In Aim 1, we propose a
novel injectable polymer network that can be self-crosslinked via catalyst-free click chemistry into “click”
organic-inorganic nanohybrid (click-ON) bone cement. Compared to our previous injectable system, the novel
cement has improved biocompatibility, injectability, and crosslinking efficiency. In Aim 2, we will investigate the
efficacy of the optimized click-ON bone cement to both prevent impending fractures and treat existing fractures
in cadaveric models using the clinical vertebroplasty and kyphoplasty procedures, respectively (Aim 2a). Intact
lumbar spines (L1-S1), spines with simulated lytic defects, and spines with biomaterial augmentation will be
tested under accurate and biomimetic loading conditions using a novel robotic testing system. Our previously
developed quantitative computerized tomography based finite element analysis (QCT/FEA) models will be
expanded to include both kinematic motion evaluation and fracture risk prediction under physiological loading
and boundary conditions and validated using the experimental results (Aim 2b). In Aim 3, We will develop a
phantom-less calibration technique to account for the effects of QCT protocols on QCT/FEA results (Aim 3a).
Using the powerful AnalyzeMD platform, we will implement an automated process to further advance the FEA
technique for time efficiency and reproducibility (Aim 3b). We will apply the comprehensive QCT/FEA models
in a retrospective cohort of spine metastasis patients and assess the virtual reconstruction using the click-ON
bone cement as a first step towards clinical translation. The QCT/FEA technique developed in this work takes
into consideration both the quality and quantity of bone and the degeneration status of the intervertebral discs.
This technique allows the clinician to counsel her/his patient regarding activities of daily living that can be
performed with a low risk of spinal fracture. Our future plans are to expand the clinical implementation of the
spinal FEA analysis at Mayo Clinic. We will add FEA evaluation results in our discussion with the patients
regarding our recommendations for their care. We will study the outcome results of those recommendations,
adjust the decision parameters as necessary, and then extend the analysis to additional institutions.",SUCCESS
ANDREW RULE,Automated detection of microstructural features that have unique protein markers and are prognostic for chronic kidney disease,2025,R01,687548,2011-02-10T00:00:00,2027-01-31T00:00:00,,,High,"""Automated detection"" and ""prognostic"" are explicit computational keywords.","The primary microstructural attributes seen in “normal” kidneys are nephrosclerosis (arteriosclerosis, global
glomerulosclerosis, and interstitial fibrosis/tubular atrophy), nephron number, and nephron size. However
manual measures of these microstructures are impractical. Further, understanding their pathophysiology may
lead to new interventions for kidney disease. Automated morphometry with deep learning (DL) networks may
be able to rapidly measure nephrosclerosis, nephron number, and nephron size. Novel morphometry of
structures impacted by glomerular hyperfiltration (podocyte and parietal epithelial cell (PEC) density,
Bowman’s space, and the diameter of proximal and distal tubule) and of microvasculature are needed to better
understand the pathophysiology of early disease. Proteomic analysis of specific microstructures that differ
between kidneys that do versus do not develop CKD outcomes has the potential to identify prognostic or even
pathogenic proteins for early kidney disease. The multi-discipline multi-site Aging Kidney Anatomy study has
unique resources for the study of microstructure in “normal” kidneys. This includes data and specimens on
living kidney donors including needle core biopsies at donation with digitized whole slide images (WSI) and
long-term CKD outcomes in the donor and recipient. This also includes data and specimens on patients who
had a radical nephrectomy for tumor including digitized WSI of kidney wedge sections and annual eGFR
testing for CKD outcomes during follow-up. Aim 1 will determine if automated morphometry of nephrosclerosis,
nephron number, and nephron size predicts CKD outcomes to test the hypothesis that DL tools allows for
efficient quantification of these clinically relevant microstructural attributes. This aim will use both previously
developed and new DL networks, develop models to predict CKD outcomes from automated morphometry,
and compare prediction of CKD outcomes between automated and manual morphometry. Aim 2 will
characterize novel microstructural attributes that associate with kidney function, CKD risk factors, and CKD
outcomes to test the hypothesis that encoded in the kidney tissue are unexplored structural attributes that
reflect the glomerular hyperfiltration and interstitial microvascular status that are prognostic for CKD. This aim
will automatically quantify podocytes, PECs, peritubular capillaries (PTC), Bowman’s space (volume), and
proximal and distal tubules (diameter) on WSI using previously developed and newly developed DL tools and
associate these structures with kidney function, CKD risk factors, and CKD outcomes. Aim 3 will discover
protein markers linked to the microstructural attributes that are prognostic for CKD outcomes to test the
hypothesis that differentially expressed proteins contained within kidney microstructures predict CKD
outcomes. This aim will use laser capture microdissection, mass spectroscopy-based proteomics (both
discovery and targeted validation approaches), and immunohistochemistry to identify proteins on kidney biopsy
sections that predict CKD outcomes and to determine their association with microstructural attributes.",SUCCESS
